Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
ENSG00000028116.12	610	648	313	1015	1124	1065
ENSG00000028137.12	0	0	0	1	0	0
ENSG00000028203.13	4361	4039	1879	5491	6381	5233
ENSG00000028277.16	6	2	0	1	0	0
ENSG00000028310.13	1121	855	285	1538	1363	1786
ENSG00000028528.10	1856	1457	766	1947	1838	2524
ENSG00000028839.5	465	406	195	590	666	536
ENSG00000029153.10	1862	1884	836	2341	2751	2387
ENSG00000029363.11	12902	11459	5728	15520	17029	16563
ENSG00000029364.7	3459	2833	1082	3498	4588	3465
ENSG00000029534.15	4	2	0	22	17	25
ENSG00000029559.5	1	0	0	0	0	0
ENSG00000029639.6	455	361	180	472	463	468
ENSG00000029725.12	4533	3857	1916	6351	6167	7268
ENSG00000029993.10	846	879	373	1282	1472	1527
ENSG00000030066.9	803	710	278	1509	1880	1645
ENSG00000030110.8	79	52	21	142	204	158
ENSG00000030304.8	2	0	0	0	0	0
ENSG00000030419.12	573	552	252	543	656	649
ENSG00000030582.12	1256	380	131	3013	2359	3520
ENSG00000031003.6	2083	1734	1082	3746	4038	4579
ENSG00000031081.6	674	574	189	2444	2675	2661
ENSG00000031544.10	1	0	2	2	0	7
ENSG00000031691.6	291	289	131	246	289	250
ENSG00000031698.8	5514	3539	1126	6870	6891	6923
ENSG00000031823.10	565	386	114	909	683	952
ENSG00000032219.14	1896	1671	851	2681	2266	3230
ENSG00000032389.8	218	163	53	434	489	391
ENSG00000032444.11	366	122	30	777	722	909
ENSG00000032742.13	820	671	308	1090	1004	1048
ENSG00000033011.7	202	173	59	409	393	418
ENSG00000033030.9	958	733	295	1223	1319	1189
ENSG00000033050.3	2104	1762	757	3046	3252	3249
ENSG00000033100.10	1361	1007	369	3025	3251	2922
ENSG00000033122.14	21	6	7	17	15	19
ENSG00000033170.12	6941	6023	2521	7927	9973	8117
ENSG00000033178.8	5415	5331	2613	5545	6856	5514
ENSG00000033327.8	2002	1375	584	1993	1937	2222
ENSG00000033627.10	763	579	234	1274	1272	1422
ENSG00000033800.9	957	710	318	1371	1238	1417
ENSG00000033867.12	8865	9049	3799	9153	9895	8979
ENSG00000034053.10	292	171	41	444	472	447
ENSG00000034063.9	66	78	29	169	141	192
ENSG00000034152.14	52	38	16	227	285	316
ENSG00000034239.6	0	0	0	2	3	3
ENSG00000034510.4	52301	40842	11845	28190	29904	26186
ENSG00000034533.7	237	158	86	269	283	301
ENSG00000034677.7	3020	2620	1276	3422	4214	3537
ENSG00000034693.10	519	451	213	542	771	573
ENSG00000034713.3	1742	1672	606	2263	2325	2408
ENSG00000034971.10	0	0	0	2	1	0
ENSG00000035115.17	1346	1153	537	1430	1493	1483
ENSG00000035141.3	869	823	436	1357	1535	1455
ENSG00000035403.12	16217	11428	4565	31408	35572	32625
ENSG00000035499.8	45	48	26	90	111	96
ENSG00000035664.7	87	53	27	212	244	234
ENSG00000035681.3	1583	1422	645	2538	2721	2620
ENSG00000035687.9	1980	1660	980	4435	4246	4504
ENSG00000035720.3	0	2	0	0	0	0
ENSG00000035862.8	3584	2693	1802	9295	9387	12141
ENSG00000035928.10	4844	4296	2074	4642	4763	4865
ENSG00000036054.8	4914	4240	1957	5063	5963	4876
ENSG00000036257.8	4828	4277	2356	6114	5534	6616
ENSG00000036448.5	46	32	18	52	51	42
ENSG00000036473.6	0	0	0	1	0	0
ENSG00000036530.4	65	50	25	102	73	122
ENSG00000036549.8	4254	3994	2026	4938	5532	4987
ENSG00000036565.10	0	0	0	1	0	0
ENSG00000036672.11	19	7	5	86	52	147
ENSG00000036828.9	0	0	0	2	0	0
ENSG00000037042.8	439	256	106	580	561	623
ENSG00000037241.3	371	276	78	534	576	599
ENSG00000037280.11	5	5	0	1	0	0
ENSG00000037474.10	2002	1627	618	3124	2692	3316
